label	path
Best helix cofold with RNAfold in second step	22
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	39
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	14
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	16
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	24
Folding rule	22
Folding rule	21
Folding rule	29
Folding rule	25
Folding rule	41
Folding rule	30
Folding rule	29
Folding rule	29
Folding rule	22
Folding rule	36
Folding rule	27
Folding rule	31
Folding rule	36
Folding rule	22
Folding rule	27
Folding rule	25
Folding rule	31
Folding rule	37
Folding rule	32
Folding rule	21
Folding rule	17
Folding rule	33
Folding rule	20
Folding rule	33
Folding rule	28
Folding rule	26
Folding rule	29
Folding rule	34
Folding rule	29
Folding rule	31
Folding rule	31
Folding rule	34
Folding rule	25
Folding rule	29
Folding rule	20
Folding rule	17
Folding rule	37
Folding rule	35
Folding rule	24
Folding rule	25
Folding rule	19
Folding rule	28
Folding rule	30
Folding rule	33
Folding rule	26
Folding rule	26
Folding rule	27
Folding rule	23
Folding rule	19
Folding rule	32
Beam search	24
Beam search	21
Beam search	30
Beam search	37
Beam search	38
Beam search	28
Beam search	27
Beam search	29
Beam search	30
Beam search	24
Beam search	30
Beam search	30
Beam search	34
Beam search	37
Beam search	30
Beam search	34
Beam search	35
Beam search	36
Beam search	26
Beam search	26
Beam search	20
Beam search	31
Beam search	29
Beam search	30
Beam search	39
Beam search	55
Beam search	27
Beam search	54
Beam search	20
Beam search	26
Beam search	26
Beam search	49
Beam search	31
Beam search	29
Beam search	23
Beam search	60
Beam search	28
Beam search	27
Beam search	32
Beam search	28
Beam search	28
Beam search	26
Beam search	35
Beam search	30
Beam search	54
Beam search	24
Beam search	44
Beam search	32
Beam search	40
Beam search	51
RNAfold	38
RNAfold	30
RNAfold	32
RNAfold	49
RNAfold	24
RNAfold	31
RNAfold	32
RNAfold	31
RNAfold	28
RNAfold	45
RNAfold	35
RNAfold	38
RNAfold	27
RNAfold	27
RNAfold	29
RNAfold	33
RNAfold	22
RNAfold	32
RNAfold	30
RNAfold	28
RNAfold	38
RNAfold	32
RNAfold	37
RNAfold	31
RNAfold	27
RNAfold	30
RNAfold	31
RNAfold	33
RNAfold	30
RNAfold	40
RNAfold	33
RNAfold	28
RNAfold	27
RNAfold	39
RNAfold	28
RNAfold	27
RNAfold	28
RNAfold	36
RNAfold	30
RNAfold	29
RNAfold	26
RNAfold	32
RNAfold	29
RNAfold	31
RNAfold	36
RNAfold	36
RNAfold	30
RNAfold	27
RNAfold	29
RNAfold	31
Look behind fold	18
Look behind fold	17
Look behind fold	29
Look behind fold	33
Look behind fold	13
Look behind fold	25
Look behind fold	30
Look behind fold	16
Look behind fold	20
Look behind fold	20
Look behind fold	22
Look behind fold	20
Look behind fold	24
Look behind fold	23
Look behind fold	27
Look behind fold	13
Look behind fold	31
Look behind fold	19
Look behind fold	32
Look behind fold	24
Look behind fold	18
Look behind fold	29
Look behind fold	23
Look behind fold	24
Look behind fold	28
Look behind fold	24
Look behind fold	24
Look behind fold	22
Look behind fold	22
Look behind fold	22
Look behind fold	20
Look behind fold	20
Look behind fold	24
Look behind fold	23
Look behind fold	19
Look behind fold	33
Look behind fold	23
Look behind fold	19
Look behind fold	25
Look behind fold	19
Look behind fold	24
Look behind fold	19
Look behind fold	27
Look behind fold	20
Look behind fold	26
Look behind fold	27
Look behind fold	21
Look behind fold	27
Look behind fold	11
Look behind fold	20
Basic cofold	20
Basic cofold	25
Basic cofold	14
Basic cofold	18
Basic cofold	24
Basic cofold	36
Basic cofold	26
Basic cofold	18
Basic cofold	40
Basic cofold	22
Basic cofold	23
Basic cofold	28
Basic cofold	37
Basic cofold	23
Basic cofold	26
Basic cofold	16
Basic cofold	21
Basic cofold	23
Basic cofold	24
Basic cofold	25
Basic cofold	27
Basic cofold	20
Basic cofold	17
Basic cofold	19
Basic cofold	16
Basic cofold	19
Basic cofold	20
Basic cofold	25
Basic cofold	24
Basic cofold	22
Basic cofold	22
Basic cofold	16
Basic cofold	17
Basic cofold	27
Basic cofold	20
Basic cofold	22
Basic cofold	27
Basic cofold	16
Basic cofold	17
Basic cofold	17
Basic cofold	24
Basic cofold	25
Basic cofold	19
Basic cofold	21
Basic cofold	35
Basic cofold	26
Basic cofold	25
Basic cofold	27
Basic cofold	20
Basic cofold	18
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	39
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	41
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	39
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	41
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	36
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	35
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	30
Folding rule	33
Folding rule	22
Folding rule	25
Folding rule	37
Folding rule	20
Folding rule	31
Folding rule	23
Folding rule	24
Folding rule	31
Folding rule	35
Folding rule	34
Folding rule	25
Folding rule	46
Folding rule	26
Folding rule	34
Folding rule	36
Folding rule	18
Folding rule	44
Folding rule	36
Folding rule	29
Folding rule	34
Folding rule	36
Folding rule	35
Folding rule	33
Folding rule	32
Folding rule	33
Folding rule	31
Folding rule	30
Folding rule	17
Folding rule	25
Folding rule	29
Folding rule	32
Folding rule	28
Folding rule	27
Folding rule	20
Folding rule	31
Folding rule	31
Folding rule	29
Folding rule	24
Folding rule	28
Folding rule	29
Folding rule	31
Folding rule	28
Folding rule	31
Folding rule	26
Folding rule	34
Folding rule	26
Folding rule	30
Folding rule	28
Folding rule	31
Beam search	51
Beam search	35
Beam search	31
Beam search	65
Beam search	29
Beam search	50
Beam search	34
Beam search	65
Beam search	41
Beam search	30
Beam search	53
Beam search	71
Beam search	31
Beam search	28
Beam search	35
Beam search	33
Beam search	27
Beam search	36
Beam search	32
Beam search	30
Beam search	32
Beam search	31
Beam search	41
Beam search	23
Beam search	47
Beam search	34
Beam search	31
Beam search	42
Beam search	35
Beam search	36
Beam search	42
Beam search	38
Beam search	29
Beam search	59
Beam search	36
Beam search	35
Beam search	38
Beam search	44
Beam search	25
Beam search	27
Beam search	28
Beam search	35
Beam search	31
Beam search	25
Beam search	34
Beam search	29
Beam search	26
Beam search	31
Beam search	27
Beam search	34
RNAfold	39
RNAfold	25
RNAfold	40
RNAfold	28
RNAfold	22
RNAfold	30
RNAfold	29
RNAfold	33
RNAfold	30
RNAfold	30
RNAfold	27
RNAfold	38
RNAfold	34
RNAfold	30
RNAfold	35
RNAfold	37
RNAfold	32
RNAfold	27
RNAfold	26
RNAfold	31
RNAfold	38
RNAfold	24
RNAfold	28
RNAfold	33
RNAfold	27
RNAfold	27
RNAfold	30
RNAfold	21
RNAfold	20
RNAfold	30
RNAfold	27
RNAfold	42
RNAfold	23
RNAfold	33
RNAfold	27
RNAfold	38
RNAfold	25
RNAfold	28
RNAfold	31
RNAfold	31
RNAfold	24
RNAfold	27
RNAfold	25
RNAfold	26
RNAfold	24
RNAfold	31
RNAfold	28
RNAfold	37
RNAfold	31
RNAfold	35
Look behind fold	23
Look behind fold	23
Look behind fold	17
Look behind fold	26
Look behind fold	22
Look behind fold	20
Look behind fold	21
Look behind fold	27
Look behind fold	23
Look behind fold	20
Look behind fold	18
Look behind fold	20
Look behind fold	24
Look behind fold	25
Look behind fold	16
Look behind fold	28
Look behind fold	18
Look behind fold	25
Look behind fold	28
Look behind fold	18
Look behind fold	24
Look behind fold	22
Look behind fold	20
Look behind fold	23
Look behind fold	22
Look behind fold	20
Look behind fold	23
Look behind fold	26
Look behind fold	14
Look behind fold	17
Look behind fold	24
Look behind fold	18
Look behind fold	29
Look behind fold	23
Look behind fold	20
Look behind fold	16
Look behind fold	19
Look behind fold	18
Look behind fold	23
Look behind fold	18
Look behind fold	26
Look behind fold	24
Look behind fold	28
Look behind fold	24
Look behind fold	18
Look behind fold	17
Look behind fold	24
Look behind fold	19
Look behind fold	22
Look behind fold	20
Basic cofold	15
Basic cofold	21
Basic cofold	24
Basic cofold	16
Basic cofold	19
Basic cofold	21
Basic cofold	23
Basic cofold	28
Basic cofold	19
Basic cofold	25
Basic cofold	29
Basic cofold	22
Basic cofold	10
Basic cofold	16
Basic cofold	17
Basic cofold	18
Basic cofold	29
Basic cofold	17
Basic cofold	20
Basic cofold	20
Basic cofold	15
Basic cofold	19
Basic cofold	18
Basic cofold	19
Basic cofold	23
Basic cofold	20
Basic cofold	24
Basic cofold	17
Basic cofold	18
Basic cofold	28
Basic cofold	26
Basic cofold	28
Basic cofold	30
Basic cofold	23
Basic cofold	19
Basic cofold	17
Basic cofold	21
Basic cofold	14
Basic cofold	25
Basic cofold	16
Basic cofold	12
Basic cofold	22
Basic cofold	16
Basic cofold	20
Basic cofold	26
Basic cofold	24
Basic cofold	25
Basic cofold	25
Basic cofold	15
Basic cofold	24
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	33
Best helix cofold with RNAfold in second step	40
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	29
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	26
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	19
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	17
Best helix cofold with RNAfold in second step	30
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	42
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	36
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	25
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	34
Best helix cofold with RNAfold in second step	20
Best helix cofold with RNAfold in second step	36
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	24
Best helix cofold with RNAfold in second step	28
Best helix cofold with RNAfold in second step	23
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	37
Best helix cofold with RNAfold in second step	21
Best helix cofold with RNAfold in second step	32
Best helix cofold with RNAfold in second step	27
Best helix cofold with RNAfold in second step	38
Best helix cofold with RNAfold in second step	31
Best helix cofold with RNAfold in second step	34
Folding rule	22
Folding rule	25
Folding rule	31
Folding rule	29
Folding rule	22
Folding rule	30
Folding rule	35
Folding rule	32
Folding rule	32
Folding rule	31
Folding rule	29
Folding rule	30
Folding rule	22
Folding rule	28
Folding rule	27
Folding rule	30
Folding rule	24
Folding rule	30
Folding rule	26
Folding rule	26
Folding rule	26
Folding rule	21
Folding rule	25
Folding rule	39
Folding rule	29
Folding rule	27
Folding rule	29
Folding rule	21
Folding rule	30
Folding rule	43
Folding rule	39
Folding rule	36
Folding rule	22
Folding rule	33
Folding rule	22
Folding rule	31
Folding rule	33
Folding rule	26
Folding rule	31
Folding rule	27
Folding rule	17
Folding rule	23
Folding rule	26
Folding rule	25
Folding rule	29
Folding rule	30
Folding rule	25
Folding rule	36
Folding rule	30
Folding rule	29
Beam search	28
Beam search	33
Beam search	66
Beam search	50
Beam search	27
Beam search	36
Beam search	46
Beam search	36
Beam search	31
Beam search	64
Beam search	29
Beam search	47
Beam search	32
Beam search	31
Beam search	32
Beam search	44
Beam search	50
Beam search	35
Beam search	30
Beam search	45
Beam search	43
Beam search	29
Beam search	27
Beam search	54
Beam search	34
Beam search	26
Beam search	33
Beam search	22
Beam search	23
Beam search	24
Beam search	31
Beam search	40
Beam search	24
Beam search	40
Beam search	30
Beam search	40
Beam search	33
Beam search	29
Beam search	70
Beam search	34
Beam search	14
Beam search	29
Beam search	28
Beam search	43
Beam search	31
Beam search	32
Beam search	29
Beam search	34
Beam search	36
Beam search	22
RNAfold	31
RNAfold	30
RNAfold	29
RNAfold	22
RNAfold	38
RNAfold	27
RNAfold	26
RNAfold	24
RNAfold	29
RNAfold	23
RNAfold	25
RNAfold	25
RNAfold	16
RNAfold	26
RNAfold	21
RNAfold	28
RNAfold	21
RNAfold	28
RNAfold	31
RNAfold	27
RNAfold	24
RNAfold	27
RNAfold	32
RNAfold	29
RNAfold	24
RNAfold	27
RNAfold	42
RNAfold	34
RNAfold	32
RNAfold	21
RNAfold	38
RNAfold	29
RNAfold	33
RNAfold	32
RNAfold	32
RNAfold	28
RNAfold	30
RNAfold	36
RNAfold	35
RNAfold	29
RNAfold	31
RNAfold	26
RNAfold	21
RNAfold	21
RNAfold	25
RNAfold	31
RNAfold	35
RNAfold	25
RNAfold	30
